Descricao do produto oferecido na proposta (o qual a IA associou a este produto demandado),,,,,Tubo S.Ref Esgoto 100Mmx6M(4) Amanco 1146,,,Tubo S.Ref Esgoto 100Mmx6M(4) Amanco 1146,,,Tubo Pvc Serie R 100 Mm Corr,,,Tubo Serie R Dn 100 6Mt,,,null,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita pois o produto oferecido corresponde ao produto demandado em tipo (TUBO S.REF ESGOTO), diâmetro (100MM), comprimento (6M) e quantidade (480).",,,"A semelhança foi calculada considerando 7 pontos de comparação (6 especificações técnicas + 1 quantidade). Houve 4 correspondências: Descrição ('S.REF ESGOTO' vs 'SERIE REFORCADA'), Diâmetro (100mm), Comprimento (6m) e o valor da Quantidade (480). A similaridade é de 57% (4/7).",,,A associação foi feita com base na correspondência do diâmetro (100mm) e da quantidade total (80 barras de 6m = 480m). A descrição 'SERIE R' foi considerada compatível com 'SERIE REFORCADA'.,,,"A associação foi feita com base na alta semelhança (71%) entre as especificações. O diâmetro (100mm), comprimento (6m) e a quantidade total (480m = 80 tubos de 6m) são compatíveis. A descrição 'SERIE R' corresponde a 'SERIE REFORCADA'.",,,null,,
Semelhanca entre o produto demandado e o produto oferecido,,,,,71%,,,57%,,,43%,,,71%,,,null,,
Quantidade demandada na requisicao de compra,,,,,480,,,480,,,480,,,480,,,480,,
Quantidade oferecida na proposta,,,,,480.0,,,480.0,,,80.0,,,80.0,,,null,,
Unidade da quantidade demandada na requisicao de compra,,,,,MT,,,MT,,,MT,,,MT,,,MT,,
Unidade da quantidade oferecida na proposta,,,,,UN,,,UN,,,BR,,,TB,,,null,,
Preco unitario oferecido na proposta,,,,,39.05,,,37.1,,,124.31,,,158.063,,,null,,
Preco unitario ajustado (para quando sao diferentes as unidades da requisicao e da proposta),,,,,39.05,,,6.18,,,20.72,,,26.344,,,null,,
Posicao em que o produto aparece na proposta,,,,,1,,,1,,,1,,,1,,,null,,
,,,,,,,,,,,,,,,,,,,
Produto demandado 2,,,,,,,,,,,,,,,,,,,
Descricao do produto demandado na requisicao de compra,,,,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 150 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 150 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 150 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 150 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 150 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,
Descricao do produto oferecido na proposta (o qual a IA associou a este produto demandado),,,,,Tubo S.Ref Esgoto 150Mm X 6M (6) Amanco,,,Tubo S.Ref Esgoto 150Mm X 6M (6) Amanco,,,Tubo Pvc Serie R 150 Mm Corr,,,Tubo Serie R Dn 150 6Mt,,,null,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita pois o produto oferecido corresponde ao produto demandado em tipo (TUBO S.REF ESGOTO), diâmetro (150MM), comprimento (6M) e a quantidade (524) é similar à demandada (530), com uma diferença de 1.13%.",,,"A semelhança foi calculada considerando 7 pontos de comparação (6 especificações técnicas + 1 quantidade). Houve 4 correspondências: Descrição ('S.REF ESGOTO' vs 'SERIE REFORCADA'), Diâmetro (150mm), Comprimento (6m) e o valor da Quantidade (524 vs 530, diferença < 3%). A similaridade é de 57% (4/7).",,,"A associação foi feita com base na correspondência do diâmetro (150mm) e da quantidade total (88 barras de 6m = 528m), que é aproximadamente a quantidade demandada (530m). A descrição 'SERIE R' foi considerada compatível com 'SERIE REFORCADA'.",,,"A associação foi feita com base na alta semelhança (71%) entre as especificações. O diâmetro (150mm), comprimento (6m) e a quantidade total (534m, que é muito próxima dos 530m demandados) são compatíveis. A descrição 'SERIE R' corresponde a 'SERIE REFORCADA'.",,,null,,
Semelhanca entre o produto demandado e o produto oferecido,,,,,71%,,,57%,,,43%,,,71%,,,null,,
Quantidade demandada na requisicao de compra,,,,,530,,,530,,,530,,,530,,,530,,
Quantidade oferecida na proposta,,,,,524.0,,,524.0,,,88.0,,,89.0,,,null,,
Unidade da quantidade demandada na requisicao de compra,,,,,MT,,,MT,,,MT,,,MT,,,MT,,
Unidade da quantidade oferecida na proposta,,,,,UN,,,UN,,,BR,,,TB,,,null,,
Preco unitario oferecido na proposta,,,,,75.94,,,72.15,,,256.88,,,318.82,,,null,,
Preco unitario ajustado (para quando sao diferentes as unidades da requisicao e da proposta),,,,,75.94,,,12.03,,,42.81,,,53.137,,,null,,
Posicao em que o produto aparece na proposta,,,,,2,,,2,,,2,,,2,,,null,,
,,,,,,,,,,,,,,,,,,,
Produto demandado 3,,,,,,,,,,,,,,,,,,,
Descricao do produto demandado na requisicao de compra,,,,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 200 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 200 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 200 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 200 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 200 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,
Descricao do produto oferecido na proposta (o qual a IA associou a este produto demandado),,,,,Tubo Esgoto 200Mm X 6M (8) Amanco,,,Tubo Esgoto 200Mm X 6M (8) Amanco,,,null,,,Tubo Pvc Ocre 200Mm 6Mt,,,null,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita pois o produto oferecido corresponde ao produto demandado em tipo (TUBO ESGOTO), diâmetro (200MM), comprimento (6M) e quantidade (48).",,,"A semelhança foi calculada considerando 7 pontos de comparação (6 especificações técnicas + 1 quantidade). Houve 4 correspondências: Descrição ('TUBO ESGOTO' vs 'SERIE REFORCADA' considerado compatível), Diâmetro (200mm), Comprimento (6m) e o valor da Quantidade (48). A similaridade é de 57% (4/7).",,,"A maior semelhança encontrada foi de 29% com o item 3 da proposta. Embora o diâmetro (200mm) e a quantidade total (8 barras * 6m/barra = 48m) correspondam, a descrição do produto ('VINILFORT JEI') difere da solicitada ('SERIE REFORCADA'), resultando em uma semelhança abaixo do limiar de 39%.",,,"A associação foi feita pois a semelhança (43%) está acima do limiar de 39%. O diâmetro (200mm) e o comprimento (6m) são compatíveis. A cor ('OCRE' vs 'BRANCO') e a quantidade (216m vs 48m) são divergentes, resultando em uma semelhança menor, mas ainda suficiente para a associação.",,,null,,
Semelhanca entre o produto demandado e o produto oferecido,,,,,71%,,,57%,,,29%,,,43%,,,null,,
Quantidade demandada na requisicao de compra,,,,,48,,,48,,,48,,,48,,,48,,
Quantidade oferecida na proposta,,,,,48.0,,,48.0,,,null,,,36.0,,,null,,
Unidade da quantidade demandada na requisicao de compra,,,,,MT,,,MT,,,MT,,,MT,,,MT,,
Unidade da quantidade oferecida na proposta,,,,,UN,,,UN,,,null,,,PC,,,null,,
Preco unitario oferecido na proposta,,,,,137.4,,,130.53,,,null,,,433.386,,,null,,
Preco unitario ajustado (para quando sao diferentes as unidades da requisicao e da proposta),,,,,137.4,,,21.76,,,null,,,72.231,,,null,,
Posicao em que o produto aparece na proposta,,,,,3,,,3,,,3,,,3,,,null,,
,,,,,,,,,,,,,,,,,,,
Produto demandado 4,,,,,,,,,,,,,,,,,,,
Descricao do produto demandado na requisicao de compra,,,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 150 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 150 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 150 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 150 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 150 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,
Descricao do produto oferecido na proposta (o qual a IA associou a este produto demandado),,,,,Tubo Coletor 150Mm X 6M Amanco,,,null,,,Tubo Pvc Vinilfort Jei 150 Mm Corr,,,Tubo Pvc Ocre 150Mm 6Mt,,,null,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita pois o produto oferecido tem descrição similar (TUBO COLETOR vs TUBO ESGOTO), mesmo diâmetro (150MM) e quantidade similar (312 vs 310, diferença de 0.64%). O fabricante difere (AMANCO vs TIGRE).",,,"Nenhum produto ofertado atingiu a semelhança mínima de 39%. O produto mais próximo (item 004, 'TUBO COLETOR 150MM X 6M AMANCO') teve semelhança de 37.5%, pois apesar de corresponder em diâmetro, tipo (considerando 'coletor' como 'esgoto') e valor de quantidade, falhou em especificações importantes como fabricante ('AMANCO' vs 'TIGRE' solicitado), cor, conexão e norma.",,,"A associação foi feita com base na correspondência de múltiplas especificações: tipo ('TUBO PVC'), diâmetro (150mm), conexão ('JEI') e quantidade total (52 barras de 6m = 312m), que é aproximadamente a quantidade demandada (310m).",,,"A associação foi feita com base na alta semelhança (63%). O material (PVC), diâmetro (150mm), cor (OCRE) e a quantidade total (312m, muito próxima dos 310m demandados) são compatíveis. A única divergência notável é o fabricante ('CORR PLASTIK' vs 'TIGRE').",,,null,,
Semelhanca entre o produto demandado e o produto oferecido,,,,,50%,,,null,,,63%,,,63%,,,null,,
Quantidade demandada na requisicao de compra,,,,,310,,,310,,,310,,,310,,,310,,
Quantidade oferecida na proposta,,,,,312.0,,,null,,,52.0,,,52.0,,,null,,
Unidade da quantidade demandada na requisicao de compra,,,,,MT,,,MT,,,MT,,,MT,,,MT,,
Unidade da quantidade oferecida na proposta,,,,,UN,,,null,,,BR,,,PC,,,null,,
Preco unitario oferecido na proposta,,,,,65.86,,,null,,,304.14,,,302.637,,,null,,
Preco unitario ajustado (para quando sao diferentes as unidades da requisicao e da proposta),,,,,65.86,,,null,,,50.69,,,50.44,,,null,,
Posicao em que o produto aparece na proposta,,,,,4,,,4,,,4,,,4,,,null,,
,,,,,,,,,,,,,,,,,,,
Produto demandado 5,,,,,,,,,,,,,,,,,,,
Descricao do produto demandado na requisicao de compra,,,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 200 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 200 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 200 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 200 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 200 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,
Descricao do produto oferecido na proposta (o qual a IA associou a este produto demandado),,,,,Tubo Coletor 200Mm X 6M Amanco,,,null,,,Tubo Pvc Vinilfort Jei 200 Mm Corr,,,Tubo Pvc Ocre 200Mm 6Mt,,,null,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita pois o produto oferecido tem descrição similar (TUBO COLETOR vs TUBO ESGOTO), mesmo diâmetro (200MM) e mesma quantidade (216). O fabricante difere (AMANCO vs TIGRE).",,,"Nenhum produto ofertado atingiu a semelhança mínima de 39%. O produto mais próximo (item 005, 'TUBO COLETOR 200MM X 6M AMANCO') teve semelhança de 37.5%, pois apesar de corresponder em diâmetro, tipo (considerando 'coletor' como 'esgoto') e valor de quantidade, falhou em especificações importantes como fabricante ('AMANCO' vs 'TIGRE' solicitado), cor, conexão e norma.",,,"A associação foi feita com base na correspondência de múltiplas especificações: tipo ('TUBO PVC'), diâmetro (200mm), conexão ('JEI') e quantidade total (36 barras de 6m = 216m), que corresponde exatamente à quantidade demandada.",,,"A associação foi feita com base na alta semelhança (63%). O material (PVC), diâmetro (200mm), cor (OCRE) e a quantidade total (216m) são compatíveis. A única divergência notável é o fabricante ('CORR PLASTIK' vs 'TIGRE').",,,null,,
Semelhanca entre o produto demandado e o produto oferecido,,,,,50%,,,null,,,63%,,,63%,,,null,,
Quantidade demandada na requisicao de compra,,,,,216,,,216,,,216,,,216,,,216,,
Quantidade oferecida na proposta,,,,,216.0,,,null,,,36.0,,,36.0,,,null,,
Unidade da quantidade demandada na requisicao de compra,,,,,MT,,,MT,,,MT,,,MT,,,MT,,
Unidade da quantidade oferecida na proposta,,,,,UN,,,null,,,BR,,,PC,,,null,,
Preco unitario oferecido na proposta,,,,,112.26,,,null,,,435.4,,,433.386,,,null,,
Preco unitario ajustado (para quando sao diferentes as unidades da requisicao e da proposta),,,,,112.26,,,null,,,72.57,,,72.231,,,null,,
Posicao em que o produto aparece na proposta,,,,,5,,,5,,,5,,,5,,,null,,
,,,,,,,,,,,,,,,,,,,
Produto demandado 6,,,,,,,,,,,,,,,,,,,
Descricao do produto demandado na requisicao de compra,,,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 250 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 250 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 250 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 250 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 250 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,
Descricao do produto oferecido na proposta (o qual a IA associou a este produto demandado),,,,,Tubo Coletor 250Mm X 6M Amanco,,,null,,,Tubo Pvc Vinilfort Jei 250 Mm Corr,,,Tubo Pvc Ocre 250Mm 6Mt,,,null,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita pois o produto oferecido tem descrição similar (TUBO COLETOR vs TUBO ESGOTO), mesmo diâmetro (250MM) e mesma quantidade (150). O fabricante difere (AMANCO vs TIGRE).",,,"Nenhum produto ofertado atingiu a semelhança mínima de 39%. O produto mais próximo (item 006, 'TUBO COLETOR 250MM X 6M AMANCO') teve semelhança de 37.5%, pois apesar de corresponder em diâmetro, tipo (considerando 'coletor' como 'esgoto') e valor de quantidade, falhou em especificações importantes como fabricante ('AMANCO' vs 'TIGRE' solicitado), cor, conexão e norma.",,,"A associação foi feita com base na correspondência de múltiplas especificações: tipo ('TUBO PVC'), diâmetro (250mm), conexão ('JEI') e quantidade total (25 barras de 6m = 150m), que corresponde exatamente à quantidade demandada.",,,"A associação foi feita com base na alta semelhança (63%). O material (PVC), diâmetro (250mm), cor (OCRE) e a quantidade total (150m) são compatíveis. A única divergência notável é o fabricante ('CORR PLASTIK' vs 'TIGRE').",,,null,,
Semelhanca entre o produto demandado e o produto oferecido,,,,,50%,,,null,,,63%,,,63%,,,null,,
Quantidade demandada na requisicao de compra,,,,,150,,,150,,,150,,,150,,,150,,
Quantidade oferecida na proposta,,,,,150.0,,,null,,,25.0,,,25.0,,,null,,
Unidade da quantidade demandada na requisicao de compra,,,,,MT,,,MT,,,MT,,,MT,,,MT,,
Unidade da quantidade oferecida na proposta,,,,,UN,,,null,,,BR,,,PC,,,null,,
Preco unitario oferecido na proposta,,,,,196.81,,,null,,,729.26,,,725.818,,,null,,
Preco unitario ajustado (para quando sao diferentes as unidades da requisicao e da proposta),,,,,196.81,,,null,,,121.54,,,120.97,,,null,,
Posicao em que o produto aparece na proposta,,,,,6,,,6,,,6,,,6,,,null,,
,,,,,,,,,,,,,,,,,,,
Produto demandado 7,,,,,,,,,,,,,,,,,,,
Descricao do produto demandado na requisicao de compra,,,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 300 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 300 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 300 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 300 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,,Descrição: Tubo Esgoto; Material: Pvc; Diametro Nominal: 300 Mm; Cor: Ocre; Conexao: Jei; Norma: Nbr 7362; Fabricante: Tigre,,
Descricao do produto oferecido na proposta (o qual a IA associou a este produto demandado),,,,,Tubo Coletor 300Mm X 6M Amanco,,,null,,,Tubo Pvc Vinilfort Jei 300 Mm Corr,,,Tubo Pvc Ocre 300Mm 6Mt,,,null,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita pois o produto oferecido tem descrição similar (TUBO COLETOR vs TUBO ESGOTO), mesmo diâmetro (300MM) e mesma quantidade (30). O fabricante difere (AMANCO vs TIGRE).",,,"Nenhum produto ofertado atingiu a semelhança mínima de 39%. O produto mais próximo (item 007, 'TUBO COLETOR 300MM X 6M AMANCO') teve semelhança de 37.5%, pois apesar de corresponder em diâmetro, tipo (considerando 'coletor' como 'esgoto') e valor de quantidade, falhou em especificações importantes como fabricante ('AMANCO' vs 'TIGRE' solicitado), cor, conexão e norma.",,,"A associação foi feita com base na correspondência de múltiplas especificações: tipo ('TUBO PVC'), diâmetro (300mm), conexão ('JEI') e quantidade total (5 barras de 6m = 30m), que corresponde exatamente à quantidade demandada.",,,"A associação foi feita com base na alta semelhança (63%). O material (PVC), diâmetro (300mm), cor (OCRE) e a quantidade total (30m) são compatíveis. A única divergência notável é o fabricante ('CORR PLASTIK' vs 'TIGRE').",,,null,,
Semelhanca entre o produto demandado e o produto oferecido,,,,,50%,,,null,,,63%,,,63%,,,null,,
Quantidade demandada na requisicao de compra,,,,,30,,,30,,,30,,,30,,,30,,
Quantidade oferecida na proposta,,,,,30.0,,,null,,,5.0,,,5.0,,,null,,
Unidade da quantidade demandada na requisicao de compra,,,,,MT,,,MT,,,MT,,,MT,,,MT,,
Unidade da quantidade oferecida na proposta,,,,,UN,,,null,,,BR,,,PC,,,null,,
Preco unitario oferecido na proposta,,,,,312.28,,,null,,,1118.43,,,1113.281,,,null,,
Preco unitario ajustado (para quando sao diferentes as unidades da requisicao e da proposta),,,,,312.28,,,null,,,186.41,,,185.547,,,null,,
Posicao em que o produto aparece na proposta,,,,,7,,,7,,,7,,,7,,,null,,
,,,,,,,,,,,,,,,,,,,
